,DATETIME,AC_REG,FLIGHT_NO,AIR_GROUND,AIRSPEED_CMP,ALTITUDE,FLAPEXT_1,FLAPEXT_2,FLAPEXT_3,FLAPEXT_4,FLAPHANDLPOS,FLAPTRANS_1,FLAPTRANS_2,FLAPTRANS_3,FLAPTRANS_4,TE_FLAPPSE_L,TE_FLAPPSE_L_SYNCRHO,TE_FLAPPSE_R,TE_FLAPPSE_R_SYNCHRO,TE_FLAPSKW_1,TE_FLAPSKW_2,TE_FLAPSKW_3,TE_FLAPSKW_4,TE_FLAPSKW_5,TE_FLAPSKW_6,TE_FLAPSKW_7,TE_FLAPSKW_8,TE_FLPSK1TO8,TE_FLPSK2TO7,TE_FLPSK3TO6,TE_FLPSK4TO5,FLAPTRANS_ALL,FLAPTRANS_IND,FLAPTRANS_DISC
51,2020-09-23 03:23:03,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
52,2020-09-23 03:23:04,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
53,2020-09-23 03:23:05,PK-GFD,GIA448,ground,45.0,91,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
54,2020-09-23 03:23:06,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
55,2020-09-23 03:23:07,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
56,2020-09-23 03:23:08,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
57,2020-09-23 03:23:09,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
58,2020-09-23 03:23:10,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
59,2020-09-23 03:23:11,PK-GFD,GIA448,ground,45.0,91,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
60,2020-09-23 03:23:12,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
61,2020-09-23 03:23:13,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
62,2020-09-23 03:23:14,PK-GFD,GIA448,ground,45.0,91,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
63,2020-09-23 03:23:15,PK-GFD,GIA448,ground,45.0,92,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
64,2020-09-23 03:23:16,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
65,2020-09-23 03:23:17,PK-GFD,GIA448,ground,45.0,91,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
66,2020-09-23 03:23:18,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
67,2020-09-23 03:23:19,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
68,2020-09-23 03:23:20,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
69,2020-09-23 03:23:21,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
70,2020-09-23 03:23:22,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
71,2020-09-23 03:23:23,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
72,2020-09-23 03:23:24,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
73,2020-09-23 03:23:25,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
74,2020-09-23 03:23:26,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
75,2020-09-23 03:23:27,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
